Date,Close,declining,advancing,dec_vol,adv_vol
2014-12-12,1997.5,2519.0,663.0,3378799862.0,713534163.0
2014-12-15,1991.0,2407.0,778.0,3433819319.0,848258739.0
2014-12-16,1971.2,1833.0,1335.0,2611648278.0,2256718211.0
2014-12-17,2013.0,373.0,2833.0,320082388.0,216829319.0
2014-12-18,2064.0,625.0,2570.0,509800139.0,4112184678.0
2014-12-19,2066.7,1129.0,2042.0,1765002255.0,3944460337.0
2014-12-22,2072.5,1342.0,1837.0,1561648651.0,1731905041.0
2014-12-23,2079.1,1153.0,2033.0,949546550.0,2025055383.0
2014-12-24,2078.0,1577.0,1527.0,742866347.0,623306413.0
2014-12-26,2084.2,1041.0,2084.0,511420000.0,1106866569.0
2014-12-29,2085.6,1333.0,1843.0,963006588.0,1413345448.0
2014-12-30,2076.5,1836.0,1325.0,1428176841.0,879012763.0
2014-12-31,2052.4,2044.0,1140.0,1862212532.0,624636280.0
2015-01-02,2046.0,1423.0,1744.0,1350022073.0,1305537329.0
2015-01-05,2016.2,2460.0,750.0,3246235308.0,446597345.0
2015-01-06,1994.9,2136.0,1041.0,3149157518.0,1242546742.0
2015-01-07,2020.0,761.0,2413.0,992721179.0,2733551484.0
2015-01-08,2054.5,741.0,2458.0,645366131.0,3144198704.0
2015-01-09,2035.3,1980.0,1171.0,2309180285.0,976268964.0
2015-01-12,2022.5,1965.0,1187.0,2290929353.0,1056742225.0
2015-01-13,2017.0,1661.0,1488.0,2575239268.0,1424522213.0
2015-01-14,2008.5,1909.0,1252.0,2895680576.0,1391532474.0
2015-01-15,1989.2,2052.0,1109.0,2908077770.0,1229690471.0
2015-01-16,2013.4,584.0,2592.0,503589124.0,3469373061.0
2015-01-20,2016.7,1943.0,1223.0,2319648846.0,1550244525.0
2015-01-21,2027.3,1144.0,2006.0,956629059.0,2669086799.0
2015-01-22,2057.0,694.0,2466.0,779370521.0,3300936924.0
2015-01-23,2043.7,1728.0,1400.0,2354553735.0,1176855375.0
2015-01-26,2053.7,987.0,2154.0,894747400.0,2451747094.0
2015-01-27,2029.5,1760.0,1381.0,2070332372.0,1170280082.0
2015-01-28,1992.0,2348.0,843.0,3600490074.0,414223407.0
2015-01-29,2019.0,1036.0,2128.0,1639750994.0,2378716460.0
2015-01-30,1991.0,2164.0,1019.0,3231706956.0,1244819679.0
2015-02-02,2016.8,864.0,2308.0,725976944.0,3182751868.0
2015-02-03,2041.8,657.0,2534.0,545446267.0,4027951477.0
2015-02-04,2029.5,2042.0,1110.0,2621763877.0,1399283860.0
2015-02-05,2054.5,779.0,2394.0,722667737.0,3004914240.0
2015-02-06,2053.2,1998.0,1181.0,2274248807.0,1883459070.0
2015-02-09,2042.2,1857.0,1312.0,1956114522.0,1505631806.0
2015-02-10,2062.2,1362.0,1794.0,1403816727.0,2170393114.0
2015-02-11,2065.5,1700.0,1457.0,1986304854.0,1488966953.0
2015-02-12,2084.0,733.0,2435.0,618533487.0,3081229943.0
2015-02-13,2093.0,1182.0,1968.0,1181960709.0,2259929064.0
2015-02-17,2096.0,1807.0,1378.0,1415827135.0,1845753240.0
2015-02-18,2095.5,1432.0,1733.0,1657907859.0,1630920368.0
2015-02-19,2095.3,1635.0,1499.0,1901336889.0,1264996627.0
2015-02-20,2107.3,1009.0,2143.0,1034511118.0,2174659473.0
2015-02-23,2106.5,1590.0,1565.0,1945429873.0,1060796639.0
2015-02-24,2113.5,1212.0,1949.0,1194620487.0,1940233373.0
2015-02-25,2110.4,1412.0,1737.0,1493987320.0,1724115430.0
2015-02-26,2109.8,1694.0,1452.0,2152871813.0,1129547250.0
2015-02-27,2105.3,1530.0,1621.0,1856817706.0,1541155135.0
2015-03-02,2114.5,1255.0,1905.0,1552691657.0,1807717682.0
2015-03-03,2104.8,1856.0,1297.0,1895035750.0,1278543196.0
2015-03-04,2096.6,1923.0,1208.0,2271877503.0,1023123947.0
2015-03-05,2099.5,1399.0,1701.0,1553684359.0,1461766929.0
2015-03-06,2070.7,2714.0,488.0,3149311179.0,668320774.0
2015-03-09,2077.7,1493.0,1657.0,1775611231.0,1483352143.0
2015-03-10,2042.0,2320.0,863.0,3142168365.0,450076193.0
