Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2015-02-05,1.73,510099.0,295066.0,805165.0
2015-02-06,1.76,952765.0,540680.0,1493445.0
2015-02-09,1.9,500183.0,263765.0,763948.0
2015-02-10,1.68,452752.0,268715.0,721467.0
2015-02-11,1.85,431492.0,233132.0,664624.0
2015-02-12,1.56,556697.0,356497.0,913194.0
2015-02-13,1.97,718077.0,365246.0,1083323.0
2015-02-17,1.74,482654.0,277384.0,760038.0
2015-02-18,2.19,773750.0,352627.0,1126377.0
2015-02-19,1.46,596989.0,408788.0,1005777.0
2015-02-20,1.78,586675.0,330429.0,917104.0
2015-02-23,1.55,374905.0,242287.0,617192.0
2015-02-24,2.08,615948.0,296780.0,912728.0
2015-02-25,1.89,554988.0,293878.0,848866.0
2015-02-26,1.97,375020.0,190112.0,565132.0
2015-02-27,2.03,650926.0,320577.0,971503.0
2015-03-02,1.97,398007.0,201838.0,599845.0
2015-03-03,2.54,462254.0,181981.0,644235.0
2015-03-04,1.98,466007.0,235383.0,701390.0
2015-03-05,2.04,339176.0,166609.0,505785.0
2015-03-06,2.15,852724.0,397491.0,1250215.0
2015-03-09,2.07,386090.0,186280.0,572370.0
2015-03-10,1.67,723353.0,433070.0,1156423.0
2015-03-11,2.26,548603.0,242495.0,791098.0
2015-03-12,1.9,466340.0,245455.0,711795.0
2015-03-13,2.09,694944.0,331765.0,1026709.0
2015-03-16,1.79,479579.0,267664.0,747243.0
2015-03-17,1.5,329087.0,218964.0,548051.0
2015-03-18,2.21,810139.0,366202.0,1176341.0
2015-03-19,1.39,662196.0,474776.0,1136972.0
2015-03-20,1.57,600028.0,383346.0,983374.0
2015-03-23,1.91,411746.0,215216.0,626962.0
2015-03-24,1.97,470538.0,239087.0,709625.0
2015-03-25,2.07,551465.0,265986.0,817451.0
2015-03-26,1.82,682322.0,375404.0,1057726.0
2015-03-27,1.89,584344.0,309385.0,893729.0
2015-03-30,2.12,536716.0,253252.0,789968.0
2015-03-31,1.69,424457.0,251322.0,675779.0
